Year,Units,Type
2008,151609,New cars
2009,57466,New cars
2010,88446,New cars
2011,89918,New cars
2012,79574,New cars
2013,74364,New cars
2014,96284,New cars
2015,124807,New cars
2016,146650,New cars
2017,131332,New cars
2018,125654,New cars
2008,60091,Used imports
2009,49464,Used imports
2010,39103,Used imports
2011,41149,Used imports
2012,38469,Used imports
2013,49762,Used imports
2014,52863,Used imports
2015,47217,Used imports
2016,70138,Used imports
2017,92508,Used imports
2018,99456,Used imports
